set	subtype	count
THB	Snake	3
THB	Nymph	5
THB	Shaman	9
THB	Manticore	1
THB	Berserker	2
THB	Spirit	4
THB	Sphinx	3
THB	Artificer	1
THB	Merfolk	7
THB	Island	1
THB	Gorgon	2
THB	Advisor	2
THB	Kraken	2
THB	Dog	2
THB	Calix	1
THB	Cat	3
THB	Soldier	13
THB	Horse	2
THB	Archer	1
THB	Cyclops	2
THB	Aura	23
THB	Ox	1
THB	Dryad	1
THB	Dragon	1
THB	Serpent	1
THB	Turtle	1
THB	Pegasus	1
THB	Horror	1
THB	Skeleton	1
THB	Plains	1
THB	Hydra	2
THB	Saga	10
THB	Fish	2
THB	Rogue	1
THB	Demon	3
THB	Spider	2
THB	Plant	1
THB	Elder	2
THB	Unicorn	1
THB	Beast	3
THB	Chimera	5
THB	Human	32
THB	Boar	1
THB	Elspeth	2
THB	Archon	2
THB	Minotaur	8
IKO	Elk	3
IKO	Giant	1
IKO	Monkey	1
IKO	Mountain	4
IKO	Nightmare	18
IKO	Wizard	6
IKO	Fox	4
IKO	Jellyfish	1
IKO	Elemental	18
IKO	Rhino	1
IKO	Wolverine	1
IKO	Plains	4
IKO	Faerie	1
IKO	Narset	1
IKO	Forest	4
IKO	Crab	1
IKO	Horror	2
IKO	Bird	6
IKO	Leech	1
IKO	Boar	1
IKO	Hippo	1
IKO	Cleric	3
IKO	Assassin	1
IKO	Squirrel	1
IKO	Wurm	1
IKO	Pangolin	1
IKO	Scout	1
IKO	Soldier	11
IKO	Vivien	1
IKO	Druid	3
IKO	Bear	1
IKO	Goat	1
IKO	Beast	20
IKO	Dragon	1
IKO	Rogue	2
IKO	Snake	1
IKO	Unicorn	2
IKO	Whale	1
IKO	Otter	2
IKO	Bat	1
IKO	Scorpion	1
IKO	Hellion	1
IKO	Warrior	5
IKO	Island	4
IKO	Insect	3
IKO	Kraken	1
IKO	Antelope	1
IKO	Gremlin	1
IKO	Lukka	1
IKO	Swamp	4
IKO	Lizard	3
IKO	Leviathan	1
IKO	Wolf	1
IKO	Aura	7
IKO	Cat	18
IKO	Octopus	1
IKO	Ooze	1
IKO	Turtle	2
IKO	Shark	2
IKO	Egg	1
IKO	Phoenix	1
IKO	Serpent	2
IKO	Dinosaur	16
IKO	Demon	1
IKO	Spider	1
IKO	Human	32
IKO	Elephant	1
IKO	Brushwagg	1
IKO	Mole	1
IKO	Frog	1
IKO	Ape	2
M21	Mountain	1
M21	Griffin	1
M21	Devil	3
M21	Golem	4
M21	Ugin	1
M21	Wizard	10
M21	Elf	5
M21	Vampire	4
M21	Elemental	7
M21	Rhino	1
M21	Equipment	2
M21	Drake	1
M21	Teferi	2
M21	Forest	1
M21	Crab	1
M21	Siren	1
M21	Imp	1
M21	Bird	2
M21	Warlock	2
M21	Warrior	7
M21	Cleric	10
M21	Fungus	1
M21	Dwarf	1
M21	Weird	1
M21	Plant	1
M21	Basri	2
M21	Rogue	6
M21	Horror	2
M21	Centaur	2
M21	Pirate	2
M21	Zombie	5
M21	Swamp	1
M21	Insect	1
M21	Scout	1
M21	Snake	2
M21	Island	1
M21	Shaman	5
M21	Merfolk	4
M21	Whale	2
M21	Goblin	4
M21	Dragon	3
M21	Spirit	5
M21	Wurm	2
M21	Hydra	1
M21	Hellion	1
M21	Thopter	1
M21	Noble	1
M21	Knight	3
M21	Unicorn	2
M21	Kraken	1
M21	Dog	8
M21	Beast	3
M21	Cat	6
M21	Soldier	6
M21	Druid	4
M21	Archer	2
M21	Cyclops	1
M21	Aura	10
M21	Masticore	1
M21	Dryad	1
M21	Treefolk	3
M21	Assassin	1
M21	Angel	1
M21	Skeleton	1
M21	Pegasus	2
M21	Shark	1
M21	Ogre	3
M21	Plains	1
M21	Dinosaur	4
M21	Wall	3
M21	Liliana	2
M21	Fish	1
M21	Myr	1
M21	Demon	1
M21	Spider	2
M21	Orc	1
M21	Lizard	1
M21	Construct	1
M21	Shrine	6
M21	Human	35
M21	Boar	1
M21	Chandra	2
M21	Garruk	2
M21	Monk	3
M21	Ooze	1
ZNR	Troll	1
ZNR	Golem	2
ZNR	Giant	2
ZNR	Nissa	1
ZNR	Mountain	1
ZNR	Wizard	21
ZNR	Elf	6
ZNR	Vampire	12
ZNR	Elemental	12
ZNR	Fungus	1
ZNR	Equipment	8
ZNR	Forest	1
ZNR	Crab	2
ZNR	Elephant	1
ZNR	Dog	1
ZNR	Kor	13
ZNR	Bird	1
ZNR	Warrior	26
ZNR	Cleric	22
ZNR	Construct	1
ZNR	Horror	3
ZNR	Beast	10
ZNR	Wall	1
ZNR	Insect	4
ZNR	Rogue	23
ZNR	Snake	2
ZNR	Plains	1
ZNR	Goblin	7
ZNR	Dragon	1
ZNR	Spirit	1
ZNR	Zombie	1
ZNR	Bat	1
ZNR	Nahiri	1
ZNR	Sphinx	1
ZNR	Hellion	1
ZNR	Merfolk	13
ZNR	Island	1
ZNR	Plant	2
ZNR	Cat	4
ZNR	Swamp	1
ZNR	Lizard	2
ZNR	Leviathan	1
ZNR	Ooze	1
ZNR	Shade	1
ZNR	Ox	1
ZNR	Wurm	1
ZNR	Skeleton	1
ZNR	Gargoyle	1
ZNR	Jace	1
ZNR	Serpent	1
ZNR	Angel	5
ZNR	Hydra	1
ZNR	Shapeshifter	1
ZNR	Squid	1
ZNR	Demon	2
ZNR	Crocodile	1
ZNR	Griffin	1
ZNR	Human	29
ZNR	Boar	1
ZNR	Minotaur	3
ZNR	Mouse	1
ZNR	Archon	1
ZNR	Aura	4
KHM	Troll	4
KHM	Mountain	6
KHM	Giant	13
KHM	Yeti	1
KHM	God	12
KHM	Wizard	12
KHM	Elf	16
KHM	Niko	1
KHM	Kaya	1
KHM	Plains	6
KHM	Forest	6
KHM	Vehicle	5
KHM	Cat	1
KHM	Scarecrow	1
KHM	Bird	4
KHM	Warrior	24
KHM	Cleric	19
KHM	Dwarf	12
KHM	Vampire	1
KHM	Bear	1
KHM	Zombie	9
KHM	Rogue	8
KHM	Knight	1
KHM	Imp	1
KHM	Berserker	26
KHM	Spirit	7
KHM	Island	6
KHM	Coward	1
KHM	Phyrexian	1
KHM	Kraken	1
KHM	Dragon	2
KHM	Swamp	6
KHM	Horse	1
KHM	Wolf	3
KHM	Aura	14
KHM	Ox	1
KHM	Treefolk	1
KHM	Wurm	1
KHM	Praetor	1
KHM	Squirrel	1
KHM	Pegasus	1
KHM	Serpent	1
KHM	Angel	13
KHM	Equipment	10
KHM	Saga	20
KHM	Tyvar	1
KHM	Demon	6
KHM	Spider	1
KHM	Shapeshifter	10
KHM	Human	17
KHM	Elephant	1
KHM	Rune	5
STX	Troll	3
STX	Golem	2
STX	Eye	1
STX	Elk	1
STX	Demon	2
STX	Wizard	20
STX	Fox	1
STX	Vampire	5
STX	Construct	2
STX	Rhino	1
STX	Plains	1
STX	Rowan	1
STX	Forest	1
STX	Elephant	1
STX	Dog	2
STX	Kor	3
STX	Bird	8
STX	Warlock	16
STX	Warrior	1
STX	Cleric	17
STX	Fungus	1
STX	Dwarf	5
STX	Phoenix	1
STX	Elder	5
STX	Horror	1
STX	Elf	4
STX	Druid	15
STX	Bear	1
STX	Efreet	1
STX	Zombie	1
STX	Wziard	1
STX	Advisor	2
STX	Shaman	14
STX	Plant	2
STX	Spirit	12
STX	Turtle	1
STX	Bat	1
STX	Soldier	1
STX	Elemental	1
STX	Merfolk	3
STX	Island	1
STX	Monk	1
STX	Drake	1
STX	Dragon	5
STX	Swamp	1
STX	Lizard	1
STX	Wolf	1
STX	Aura	1
STX	Djinn	3
STX	Dryad	1
STX	Treefolk	2
STX	Wurm	1
STX	Squirrel	1
STX	Gargoyle	1
STX	Cat	1
STX	Ogre	1
STX	Serpent	1
STX	Equipment	3
STX	Wall	2
STX	Liliana	1
STX	Mountain	1
STX	Orc	4
STX	Crocodile	2
STX	Beast	3
STX	Kasmina	1
STX	Human	33
STX	Pest	1
STX	Lesson	20
STX	Minotaur	1
STX	Illusion	1
STX	Specter	1
STX	Frog	2
STX	Avatar	1
