subtype	AKH	HOU	XLN	RIX	DOM	M19	GRN	RNA	WAR	M20	ELD	THB	IKO	M21	ZNR	KHM	STX	total
Elder				6	1	5						2					5	19
Elemental		4	3	2	7	5	4	4	3	31		4	18	7	12		1	105
Elephant					1	2	2	1	1	3	1		1		1	1	1	15
Elf					8	10	15	5	5	6	7			5	6	16	4	87
Elk						2				1			3				1	7
Elspeth												2						2
Equipment	1	1	4	2	7	3	1	1		6	8	4		2	8	10	3	61
Eye																	1	1
Faerie							2	1	1	2	17		1					24
Fish			1			1		1		1		2		1				7
Food											2							2
Forest	3	1	1	1	1	1	3	3	1	1	2	1	4	1	1	6	1	32
Fox											1		4				1	6
Frog					1		1	3					1				2	8
Fungus					6		2							1	1		1	11
Gargoyle						1	1				2				1		1	6
Garruk											1			2				3
Gate							6	6	3									15
Giant					1	1	3	3	2	1	6	8	1		2	13		41
Gideon	2								2									4
Gnome											1							1
Goat													1					1
Goblin			4	3	6	7	7	5	3	8	5			4	7			59
God	5	3							5			7				12		32
Golem		1	1	2	3	2		1	2	4	2			4	2		2	26
Gorgon						1	1		1			2						5
Gremlin													1					1
Griffin				1		1		1	1	3	3	1		1	1			13
Harpy				1		1						3						5
Hellion		1				1			1				1	1	1			6
Hippo	1	1							1				1					4
Homarid					1													1
Homunculus								3	1									4
Horror	2	4	1	1		2	1			3		1	2	2	3		1	23
Horse		1		1		6					1	2				1		12
Huatli			2	1					1									4
Human	30	18	43	27	45	31	31	34	17	28	61	32	32	35	29	17	33	543
Hydra	1	1				1		1	1	2	2	2		1	1			13
Hyena	1																	1
Illusion	1						1		3	1							1	7
Imp			1				1	1						1		1		5
Insect	3	2	1				7	1	1	1		1	3	1	4			25
Island	3	1	1	1	1	1	3	3	1	1	2	1	4	1	1	6	1	32
Jace			2						2						1			5
Jackal	10	8				1			1									20
Jaya					1				1									2
Jellyfish								1					1					2
Juggernaut					1													1
Karn					1				1									2
Kasmina									1								1	2
Kavu					1													1
Kaya								1	1							1		3
Kiora									1									1
Knight			8	9	13	6	9	4	1	12	46			3		1		112
Kor															13		3	16
Kraken												2	1	1		1		5
Lamia												1						1
Leech													1					1
Lesson																	20	20
Leviathan					1				1				1		1			4
Liliana	2					2			1					2			1	8
Lizard	2	2		1			1	3		2			3	1	2		1	18
Lukka													1					1
Manticore	2	1							1			1						5
Masticore														1				1
Merfolk			21	17	4	3		4	2	2	5	7		4	13		3	85
Minotaur	9	6			1	1	2		2	2		8			3		1	35
Mole													1					1
Monk						1			1					3			1	6
Monkey													1					1
Mountain	3	1	1	1	1	1	3	3	1	1	2	1	4	1	1	6	1	32
Mouse															1			1
Mutant								4	3									7
Myr														1				1
Naga	9	10							1									20
Nahiri									1						1			2
Narset									1				1					2
Nightmare						2	2		3	1		3	18					29
Niko																1		1
Nissa	1	1							1						1			4
Nixilis									1									1
Noble						1					13			1				15
Nymph												5						5
Octopus								2		1			1					4
Ogre						2		5	1	2	2			3			1	16
Oko											2							2
Ooze					1			2					1	1	1			6
Orc			6	3	1					2				1			4	17
Otter													2					2
Ouphe											1							1
Ox										1	1	1			1	1		5
Pangolin													1					1
Peasant											5							5
Pegasus					1	1		1	1	3		1		2		1		11
Pest																	1	1
Phoenix				1	1		1			1		1	1				1	7
Phyrexian																1		1
Pirate			39	28		2				4				2				75
Plains	3	1	1	1	1	1	3	3	1	1	2	1	4	1	1	6	1	32
Plant						1	2		1			1		1	2		2	10
Praetor																1		1
Ral							2		1									3
Rat		1			1		1											3
Rhino						1	1	1	1	2			1	1			1	9
Rogue	2		1		2	1	5	12	2	7	5	1	2	6	23	8		77
Rowan											2						1	3
Rune																5		5
Saga					14							10				20		44
Saheeli									1									1
Salamander								1										1
Samut		1							1									2
Sarkhan						2			1									3
Satyr						1						10						11
Scarecrow						1				1	2					1		5
Scorpion	2									1			1					4
Scout			6	3	3	3	3	1	1	4		4	1	1				30
Serpent	2	1				1				1	1	1	2		1	1	1	12
Shade					1		1	1							1			4
Shaman			10	6	1	4	8	11		4	1	9		5			14	73
Shapeshifter	1			1		1	1								1	10		15
Shark								1					2	1				4
Sheep								1										1
Shrine														6				6
Siren			3	1								1		1				6
Skeleton					1	3	1	1		2	1	1		1	1			12
Snake	2	1		1				1			1	3	1	2	2			14
Soldier	2		9	11	4	10	20	7	8	8	2	13	11	6			1	112
Sorin									1	2								3
Specter					1	1	1				1						1	5
Sphinx	2	2		1	1	3	2	3	1	2		3			1			21
Spider	1	1			1	1	2	1	1	3	1	2	1	2		1		18
Spirit				1	3	6	2	5	3	8	2	4		5	1	7	12	59
Squid															1			1
Squirrel													1			1	1	3
Swamp	3	1	1	1	1	1	3	3	1	1	2	1	4	1	1	6	1	32
Tamiyo									1									1
Teferi					2				1					2				5
Teyo									1									1
Tezzeret						2			1									3
Thopter						1								1				2
Thrull					1			2		1								4
Tibalt									1									1
Treefolk						1				1	2			3		1	2	10
Trilobite			1															1
Troll							1	1	1	1	3				1	4	3	15
Turtle					1			1			3	1	2				1	9
Tyvar																1		1
Ugin									1					1				2
Unicorn					1		1			1	1	1	2	2				9
Vampire			20	20	2	6	5	5	2	10				4	12	1	5	92
Vedalken							2	5		1								8
Vehicle			5		1				3		1	1				5		16
Viashino						1	2	3										6
Vivien						2			1	2			1					6
Vraska			1	1			2		1									5
Wall		2		1	1	3	4	1	1		3			3	1		2	22
Warlock											5			2			16	23
Warrior	30	20	6	7	16	13	10	14	14	9	5	8	5	7	26	24	1	215
Weird									2					1				3
Whale													1	2				3
Will											1							1
Wizard	7	10	9	4	15	11	12	9	13	10	8	8	6	10	21	12	21	186
Wolf						2			1	2	2		1			3	1	12
Wolverine											1		1					2
Wurm	1	1			1	1	3	1	1				1	2	1	1	1	15
Yanggu									1									1
Yanling										2								2
Yeti																1		1
Zombie	15	19			1	11	8	1	25	6	2	5		5	1	9	1	109
